301,题目1,1.0000582842,-1.5664801655,-2.67287590947|-1.31573103028|-0.710833556645,1|2|3|4,选项1|选项2|选项3|选项4,1,2
302,题目2,1.0073548359,-1.6142196285,-2.26442270757|-1.69399203143|-0.884244146532,3|1|2|4,选项1|选项2|选项3|选项4,1,2
303,题目3,1.0148267965,-1.5316923977,-2.72587694948|-1.7494023346|-0.119797909164,4|1|2|3,选项1|选项2|选项3|选项4,1,2
304,题目4,1.0207501745,-1.3642575166,-2.33498724238|-1.48376151578|-0.274023791683,2|1|3|4,选项1|选项2|选项3|选项4,1,2
305,题目5,1.0216120554,-1.5514660742,-2.84763408097|-1.21014784303|-0.596616298662,3|1|2|4,选项1|选项2|选项3|选项4,1,2
306,题目6,1.0233910377,-1.0789319998,-2.00155623115|-1.09004775029|-0.145192018048,1|2|3|4,选项1|选项2|选项3|选项4,1,2
307,题目7,1.0259143306,-1.7812259668,-2.9687220855|-1.55791762545|-0.817038189348,3|1|2|4,选项1|选项2|选项3|选项4,1,2
308,题目8,1.0378734556,-1.182459269,-2.07534670249|-1.33879409214|-0.133237012282,1|2|3|4,选项1|选项2|选项3|选项4,1,2
309,题目9,1.0430829256,-1.4289895381,-2.48878766179|-1.6409841783|-0.157196774113,4|1|2|3,选项1|选项2|选项3|选项4,1,2
310,题目10,1.0454833557,-1.4524995631,-2.53623179569|-1.60499441243|-0.216272481164,3|1|2|4,选项1|选项2|选项3|选项4,1,2
311,题目11,1.0536735174,-1.6164130211,-2.0803104253|-1.84915321924|-0.919775418761,1|2|3|4,选项1|选项2|选项3|选项4,1,2
312,题目12,1.069770554,-1.434141383,-2.48264471936|-1.58222038231|-0.237559047188,3|1|2|4,选项1|选项2|选项3|选项4,1,2
313,题目13,1.0785468796,-1.5572542742,-2.41489608348|-1.28142543233|-0.975441306918,3|1|2|4,选项1|选项2|选项3|选项4,1,2
314,题目14,1.0805953135,-1.6172037038,-2.85305530851|-1.23213842242|-0.766417380539,3|1|2|4,选项1|选项2|选项3|选项4,1,2
315,题目15,1.0810136527,-1.4900941066,-2.35928883575|-1.22058665142|-0.890406832757,2|1|3|4,选项1|选项2|选项3|选项4,1,2
316,题目16,1.0814381843,-1.38247662,-2.16179209473|-1.24512028001|-0.740517485163,2|1|3|4,选项1|选项2|选项3|选项4,1,2
317,题目17,1.0900312124,-1.6723796451,-2.85235399889|-1.53879652913|-0.625988407357,4|1|2|3,选项1|选项2|选项3|选项4,1,2
318,题目18,1.1033079547,-1.4448064413,-2.13314529064|-1.40513575397|-0.79613827926,1|2|3|4,选项1|选项2|选项3|选项4,1,2
319,题目19,1.1074442953,-1.4293734731,-2.90294999176|-1.32765457395|-0.0575158535374,4|1|2|3,选项1|选项2|选项3|选项4,1,2
320,题目20,1.1117615194,-1.2777251463,-2.48356327486|-1.04550395933|-0.304108204673,3|1|2|4,选项1|选项2|选项3|选项4,1,2
321,题目21,1.1269336219,-1.4426580542,-2.65862647441|-1.21230647577|-0.45704121237,1|2|3|4,选项1|选项2|选项3|选项4,1,2
322,题目22,1.1270049365,-1.4626319045,-2.16558627177|-1.17354689839|-1.04876254333,2|1|3|4,选项1|选项2|选项3|选项4,1,2
323,题目23,1.1316643733,-1.3871622439,-2.68130970172|-1.33395255105|-0.14622447882,1|2|3|4,选项1|选项2|选项3|选项4,1,2
324,题目24,1.1373539568,-1.3174780311,-2.07317095839|-1.28362987609|-0.595633258941,4|1|2|3,选项1|选项2|选项3|选项4,1,2
325,题目25,1.1414689897,-1.8341362613,-2.93978752262|-1.62248523806|-0.940136023311,1|2|3|4,选项1|选项2|选项3|选项4,1,2
326,题目26,1.141785504,-1.4602587243,-2.77979614775|-1.14665142873|-0.454328596306,3|1|2|4,选项1|选项2|选项3|选项4,1,2
327,题目27,1.1784821123,-1.3519405825,-2.09904789713|-1.60306373902|-0.353710111464,1|2|3|4,选项1|选项2|选项3|选项4,1,2
328,题目28,1.1841068376,-1.5922327045,-2.79586271987|-1.6117657781|-0.369069615573,2|1|3|4,选项1|选项2|选项3|选项4,1,2
329,题目29,1.1847609803,-1.4439303503,-2.71437635525|-1.58662737714|-0.0307873183949,4|1|2|3,选项1|选项2|选项3|选项4,1,2
330,题目30,1.1932088299,-1.409195088,-2.35344163713|-1.01806995853|-0.856073668383,1|2|3|4,选项1|选项2|选项3|选项4,1,2
331,题目31,1.1934083203,-1.7045158129,-2.93968903756|-1.40394832654|-0.769910074497,1|2|3|4,选项1|选项2|选项3|选项4,1,2
332,题目32,1.2007437834,-1.4835284273,-2.31190118576|-1.43460806461|-0.704076031632,1|2|3|4,选项1|选项2|选项3|选项4,1,2
333,题目33,1.2031840466,-1.6998607861,-2.81983868652|-1.95442538304|-0.325318288735,2|1|3|4,选项1|选项2|选项3|选项4,1,2
334,题目34,1.2046815041,-1.0834181854,-2.09554133258|-1.12144231786|-0.0332709056932,1|2|3|4,选项1|选项2|选项3|选项4,1,2
